area_id,area_name_vnm,area_name_en,GRDP
1,Thành_phố_Hà_Nội,Ha Noi,51390
2,Tỉnh_Hà_Giang,Ha Giang,1310
4,Tỉnh_Cao_Bằng,Cao Bang,940
6,Tỉnh_Bắc_Kạn,Bac Kan,650
8,Tỉnh_Tuyên_Quang,Tuyen Quang,1790
10,Tỉnh_Lào_Cai,Lao Cai,2960
11,Tỉnh_Điện_Biên,Dien Bien,1090
12,Tỉnh_Lai_Châu,Lai Chau,1030
14,Tỉnh_Sơn_La,Son La,2780
15,Tỉnh_Yên_Bái,Yen Bai,1730
17,Tỉnh_Hoà_Bình,Hoa Binh,2480
19,Tỉnh_Thái_Nguyên,Thai Nguyen,6430
20,Tỉnh_Lạng_Sơn,Lang Son,1750
22,Tỉnh_Quảng_Ninh,Quang Ninh,11550
24,Tỉnh_Bắc_Giang,Bac Giang,6680
25,Tỉnh_Phú_Thọ,Phu Tho,3830
26,Tỉnh_Vĩnh_Phúc,Vinh Phuc,6620
27,Tỉnh_Bắc_Ninh,Bac Ninh,11110
30,Tỉnh_Hải_Dương,Hai Duong,7360
31,Thành_phố_Hải_Phòng,Hai Phong,15970
33,Tỉnh_Hưng_Yên,Hung Yen,5720
34,Tỉnh_Thái_Bình,Thai Binh,4800
35,Tỉnh_Hà_Nam,Ha Nam,3530
36,Tỉnh_Nam_Định,Nam Dinh,4000
37,Tỉnh_Ninh_Bình,Ninh Binh,3520
38,Tỉnh_Thanh_Hóa,Thanh Hoa,10910
40,Tỉnh_Nghệ_An,Nghe An,8010
42,Tỉnh_Hà_Tĩnh,Ha Tinh,4120
44,Tỉnh_Quảng_Bình,Quang Binh,2160
45,Tỉnh_Quảng_Trị,Quang Tri,1760
46,Tỉnh_Thừa_Thiên_Huế,Thua Thien-Hue,2850
48,Thành_phố_Đà_Nẵng,Da Nang,5420
49,Tỉnh_Quảng_Nam,Quang Nam,5060
51,Tỉnh_Quảng_Ngãi,Quang Ngai,5290
52,Tỉnh_Bình_Định,Binh Dinh,4610
54,Tỉnh_Phú_Yên,Phu Yen,2180
56,Tỉnh_Khánh_Hòa,Khanh Hoa,4200
58,Tỉnh_Ninh_Thuận,Ninh Thuan,1980
60,Tỉnh_Bình_Thuận,Binh Thuan,4170
62,Tỉnh_Kon_Tum,Kon Tum,1310
64,Tỉnh_Gia_Lai,Gia Lai,4540
66,Tỉnh_Đắk_Lắk,Dak Lak,4680
67,Tỉnh_Đắk_Nông,Dak Nong,1720
68,Tỉnh_Lâm_Đồng,Lam Dong,4450
70,Tỉnh_Bình_Phước,Binh Phuoc,3760
72,Tỉnh_Tây_Ninh,Tay Ninh,4400
74,Tỉnh_Bình_Dương,Binh Duong,19280
75,Tỉnh_Đồng_Nai,Dong Nai,18350
77,Tỉnh_Bà_Rịa_-_Vũng_Tàu,Ba Ria - Vung Tau,16790
79,Thành_phố_Hồ_Chí_Minh,Ho Chi Minh city,63650
80,Tỉnh_Long_An,Long An,6740
82,Tỉnh_Tiền_Giang,Tien Giang,5020
83,Tỉnh_Bến_Tre,Ben Tre,2740
84,Tỉnh_Trà_Vinh,Tra Vinh,3140
86,Tỉnh_Vĩnh_Long,Vinh Long,3080
87,Tỉnh_Đồng_Tháp,Dong Thap,4360
89,Tỉnh_An_Giang,An Giang,4680
91,Tỉnh_Kiên_Giang,Kien Giang,5050
92,Thành_phố_Cần_Thơ,Can Tho,4650
93,Tỉnh_Hậu_Giang,Hau Giang,2070
94,Tỉnh_Sóc_Trăng,Soc Trang,2830
95,Tỉnh_Bạc_Liêu,Bac Lieu,2390
96,Tỉnh_Cà_Mau,Ca Mau,3190
