area_id,area_name_vnm,population,age_working_population,age_old,age_old_dependency_ratio
01,Thành_phố_Hà_Nội,8421411,5241988,1067844,20.37097376
02,Tỉnh_Hà_Giang,884994,527775,65350,12.38217043
04,Tỉnh_Cao_Bằng,537328,337417,58556,17.35419377
06,Tỉnh_Bắc_Kạn,319677,204807,33646,16.42814943
08,Tỉnh_Tuyên_Quang,802253,492809,87863,17.82901692
10,Tỉnh_Lào_Cai,761435,465471,57900,12.43901339
11,Tỉnh_Điện_Biên,626926,369094,41713,11.30145708
12,Tỉnh_Lai_Châu,478357,280010,27089,9.674297347
14,Tỉnh_Sơn_La,1292262,787041,95012,12.07205215
15,Tỉnh_Yên_Bái,842856,514625,87168,16.93815885
17,Tỉnh_Hoà_Bình,869722,545849,97105,17.7897184
19,Tỉnh_Thái_Nguyên,1328811,843508,160528,19.03099911
20,Tỉnh_Lạng_Sơn,797356,511575,85770,16.76587011
22,Tỉnh_Quảng_Ninh,1351632,845186,164914,19.51215472
24,Tỉnh_Bắc_Giang,1877975,1170527,222146,18.97828927
25,Tỉnh_Phú_Thọ,1502193,905786,207791,22.94040756
26,Tỉnh_Vĩnh_Phúc,1191134,716858,145743,20.33080471
27,Tỉnh_Bắc_Ninh,1462741,940441,164821,17.52592667
30,Tỉnh_Hải_Dương,1942889,1169616,304633,26.04555683
31,Thành_phố_Hải_Phòng,2080515,1268921,311732,24.56669879
33,Tỉnh_Hưng_Yên,1286473,776924,190775,24.55516885
34,Tỉnh_Thái_Bình,1885334,1109433,355322,32.02735091
35,Tỉnh_Hà_Nam,872130,517954,141743,27.36594369
36,Tỉnh_Nam_Định,1787263,1026420,324280,31.59330488
37,Tỉnh_Ninh_Bình,1006624,594149,156131,26.27808849
38,Tỉnh_Thanh_Hóa,3697590,2262437,526434,23.26844902
40,Tỉnh_Nghệ_An,3404710,2083322,422001,20.25615819
42,Tỉnh_Hà_Tĩnh,1307793,752339,209461,27.84130558
44,Tỉnh_Quảng_Bình,910629,551545,117266,21.2613658
45,Tỉnh_Quảng_Trị,643393,376707,89335,23.71471727
46,Tỉnh_Thừa_Thiên_Huế,1142248,709855,156350,22.02562495
48,Thành_phố_Đà_Nẵng,1200609,797109,120239,15.0843862
49,Tỉnh_Quảng_Nam,1518174,925210,223734,24.1819695
51,Tỉnh_Quảng_Ngãi,1239888,759395,182799,24.07166231
52,Tỉnh_Bình_Định,1494174,928961,213506,22.98331146
54,Tỉnh_Phú_Yên,878957,556879,107141,19.23954755
56,Tỉnh_Khánh_Hòa,1252520,821318,141954,17.28368306
58,Tỉnh_Ninh_Thuận,598485,378400,57729,15.25607822
60,Tỉnh_Bình_Thuận,1250763,807937,129813,16.06721811
62,Tỉnh_Kon_Tum,569224,341508,39614,11.59972826
64,Tỉnh_Gia_Lai,1568114,955888,119715,12.52395678
66,Tỉnh_Đắk_Lắk,1907869,1206582,172308,14.28067052
67,Tỉnh_Đắk_Nông,651694,404334,41121,10.17005743
68,Tỉnh_Lâm_Đồng,1324769,846787,127004,14.99834079
70,Tỉnh_Bình_Phước,1027473,659304,90318,13.69899166
72,Tỉnh_Tây_Ninh,1189275,802394,133839,16.67996022
74,Tỉnh_Bình_Dương,2661253,1992048,145877,7.322966113
75,Tỉnh_Đồng_Nai,3249358,2188880,294331,13.44664851
77,Tỉnh_Bà_Rịa_-_Vũng_Tàu,1187199,778148,123691,15.89556228
79,Thành_phố_Hồ_Chí_Minh,9440403,6765601,886957,13.10980355
80,Tỉnh_Long_An,1737698,1160613,212005,18.26664013
82,Tỉnh_Tiền_Giang,1785593,1169178,247016,21.12732193
83,Tỉnh_Bến_Tre,1300764,839685,202687,24.13845668
84,Tỉnh_Trà_Vinh,1014700,641188,138619,21.61908832
86,Tỉnh_Vĩnh_Long,1027546,660277,155172,23.50104577
87,Tỉnh_Đồng_Tháp,1607812,1044000,210363,20.14971264
89,Tỉnh_An_Giang,1909868,1209651,240983,19.92169642
91,Tỉnh_Kiên_Giang,1740753,1151587,186672,16.20997806
92,Thành_phố_Cần_Thơ,1250228,848754,151091,17.80150668
93,Tỉnh_Hậu_Giang,730671,465175,99612,21.4138765
94,Tỉnh_Sóc_Trăng,1197305,746762,164575,22.0384808
95,Tỉnh_Bạc_Liêu,922045,613556,110932,18.08017524
96,Tỉnh_Cà_Mau,1198512,813742,82735,10.16722745
